region,region.2,asian.f.c,asian.f.r,black.f.c,black.f.r,hispanic.f.c,hispanic.f.r,nativeAm.f.c,nativeAm.f.r,white.f.c,white.f.r,u.f.c,u.f.p,total.f.c,total.f.r,asian.m.c,asian.m.r,black.m.c,black.m.r,hispanic.m.c,hispanic.m.r,nativeAm.m.c,nativeAm.m.r,white.m.c,white.m.r,u.m.c,u.m.p,total.m.c,total.m.r,asian.tot.c,asian.tot.r,black.tot.c,black.tot.r,hispanic.tot.c,hispanic.tot.r,nativeAm.tot.c,nativeAm.tot.r,white.tot.c,white.tot.r,u.tot.c,u.tot.p,total.tot.c,total.tot.r
 CALIFORNIA,CA,248,11.4,3467,289.7,2026,37,40,36.9,1149,13,3930,0.4,10860,60.9,312,14.8,3483,296,2347,39.9,24,23.1,2774,31.8,4661,0.3,13601,75.6,562,13.1,6971,293.7,4387,38.6,64,30.2,3925,22.3,8716,0.4,24625,69.8
 Alameda,Ala,21,12.8,397,295.7,42,30.6,3,85.3,34,10.5,546,0.5,1043,136.8,23,14.5,380,312.3,53,36,4,119.8,93,29.1,446,0.4,999,133.1,44,13.6,780,304.8,95,33.4,7,102.1,127,19.7,998,0.5,2051,137.7
Berkeley,Ber,0,0,24,311.8,3,72.4,0,0,3,9.9,21,0.4,51,102.2,4,52.9,25,288.1,2,43.6,1,396.1,9,29.2,17,0.3,58,111.8,4,26.7,51,311.4,5,57.3,1,200,12,19.6,40,0.4,113,107.9
 Alpine,Alp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Amador,Ama,0,0,0,0,0,0,0,0,1,6.9,0,0,1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3,0,0,1,2.8
 Butte,But,1,20.3,3,210.1,1,10.3,0,0,4,4.3,3,0.3,12,10.7,0,0,5,342.9,1,9.4,0,0,3,3.4,0,0,9,8.4,1,10.1,8,277.2,2,9.8,0,0,7,3.8,3,0.1,21,10.1
 Calaveras,Cal,0,0,0,0,0,0,0,0,0,0,1,1,1,4.4,0,0,0,0,0,0,0,0,0,0,2,1,2,9.1,0,0,0,0,0,0,0,0,0,0,3,1,3,7.1
 Colusa,Col,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.1,0,0,0,0,0,0,1,8.4,0,0,0,0,1,9.4,0,0,0,0,0,0,1,5.1
 Contra Costa,CC,3,4.8,97,209,13,19.8,1,38.8,25,8.2,228,0.6,367,76.2,7,11.5,71,166.7,9,12.7,0,0,27,9.1,158,0.6,272,57.7,10,8.1,169,189.9,22,16.1,1,19.8,53,8.8,390,0.6,645,65.3
 Del Norte,Del,0,0,0,0,0,0,0,0,1,8.2,0,0,1,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,3.6
 El Dorado,EL,0,0,0,0,2,28.5,0,0,2,2.6,5,0.6,9,10.3,0,0,0,0,0,0,0,0,2,2.6,5,0.7,7,8,0,0,0,0,2,13.4,0,0,4,2.6,10,0.6,16,9.7
 Fresno,FR,14,31,174,818.6,189,116.3,3,73.9,53,28,214,0.3,647,153.2,2,4.4,111,570.4,140,81.1,3,83.7,23,13.1,145,0.3,424,101.6,16,17.6,287,704.9,333,99.3,6,78.5,76,20.8,371,0.3,1089,130.4
