Year,California,US
1913,4.3, 
1914,16.5,
1915,23.7,
1916,35.5,
1917,95.2,
1918,142.9,
1919,135.5,
1920,150,
1921,125.4,
1922,127.3,
1923,135.9,
1924,119.3,
1925,116.3,
1926,114.8,
1927,105.4,
1928,105.7,
1929,106,
1930,122.7,
1931,139.5,
1932,147.6,
1933,131.1,
1934,172.7,
1935,188.6,
1936,191.4,
1937,261.6,
1938,245.8,
1939,243.9,
1940,281.3,
1941,222.4,146.7
1942,160.4,160.9
1943,172,213.6
1944,227.7,236.5
1945,296.1,225.8
1946,349,275
1947,329.5,270
1948,266,239.8
1949,213.1,217.3
1950,173.8,192.5
1951,153.8,168.9
1952,135.9,160.8
1953,132.9,153.9
1954,127.9,153.5
1955,113,147
1956,113,135.7
1957,110.6,127.4
1958,128.4,135.6
1959,112.7,137.6
1960,121.3,145.4
1961,140,145.8
1962,159.1,143.6
1963,181.5,149.2
1964,198,159
1965,225,169.6
1966,250.1,181.9
1967,317.1,207.3
1968,391.1,235.7
1969,456.2,268.6
1970,523.6,297.2
1971,505.3,327.2
1972,490.7,369.7
1973,470.8,402
1974,465.9,428.2
1975,566.1,467.7
1976,573.7,464.1
1977,567.2,459.5
1978,595.9,459.7
1979,586.8,450.3
1980,574.1,445.1
1981,526.1,435.2
1982,442.9,417.9
1983,426.5,387.6
1984,426.9,372.5
1985,444.6,383
1986,432.1,371.5
1987,345.9,325
1988,284.3,301.9
1989,242.2,297.1
1990,181.3,277.4
1991,144.8,246.7
1992,123.2,197.2
1993,100.4,172.5
1994,92.8,167.7
1995,76.8,149.4
1996,58.1,123.8
1997,55.5,122.4
1998,59.5,131.9
1999,55.8,132.3
2000,63.6,129
2001,67.1,128.5
2002,69.8,125
