date,sx.e,e.ti,e.tx,ti.lr,ti.mr,ti.r,r.dis,dis.i,r.state
5,33,0,0,0,20,20,0,0,369
5,0,0,37,0,0,37,0,13,157
5,0,0,6,199,199,199,3,1,29
5,0,11,12,0,20,20,7,113,0
5,16,0,5,0,30,0,30,5,118
5,9,0,0,0,0,104,0,0,20
5,14,0,5,48,48,48,0,21,36
5,0,0,22,1,0,0,13,1,69
5,7,2,10,0,5,0,0,28,40
5,49,0,6,5,5,5,0,0,27
20,32,0,7,5,8,5,0,3,15
20,11,0,19,0,0,0,0,0,61
20,55,0,7,0,0,0,9,0,57
20,66,0,6,4,5,5,2,4,56
20,16,0,12,9,11,11,0,0,49
20,8,0,9,13,10,10,0,0,18
20,7,0,1,2,2,2,0,0,26
20,12,0,3,6,6,6,1,0,8
20,28,0,3,6,6,6,0,0,8
20,0,0,3,6,6,6,1,0,8
20,73,0,3,6,6,6,0,0,8
20,0,0,3,6,6,6,0,0,22
20,0,0,3,6,6,6,0,0,8
20,0,0,9,5,5,5,3,1,29
20,0,0,13,5,5,5,3,0,29
