"","year","county","births","very","pre","events","rate"
"1",2010,"Alameda",19280,1622,259,1881,9.75622406639004
"2",2010,"Alpine",4,0,0,0,0
"3",2010,"Amador",272,25,0,25,9.19117647058824
"4",2010,"Butte",2447,183,31,214,8.74540253371475
"5",2010,"Calaveras",346,29,0,29,8.38150289017341
"6",2010,"California",508748,43527,6587,50114,9.85045641457067
"7",2010,"Colusa",338,24,0,24,7.10059171597633
"8",2010,"Contra Costa",12341,1057,152,1209,9.79661291629528
"9",2010,"Del Norte",370,27,0,27,7.2972972972973
"10",2010,"El Dorado",1617,140,21,161,9.95670995670996
"11",2010,"Fresno",16231,1662,262,1924,11.8538598977266
"12",2010,"Glenn",434,34,0,34,7.83410138248848
"13",2010,"Humboldt",1542,113,12,125,8.10635538261997
"14",2010,"Imperial",3065,267,42,309,10.0815660685155
"15",2010,"Inyo",189,20,0,20,10.5820105820106
"16",2010,"Kern",14165,1229,180,1409,9.94705259442287
"17",2010,"Kings",2504,234,38,272,10.8626198083067
"18",2010,"Lake",706,55,0,55,7.79036827195467
"19",2010,"Lassen",319,22,0,22,6.89655172413793
"20",2010,"Los Angeles",132846,11627,1814,13441,10.1177303042621
"21",2010,"Madera",2428,229,35,264,10.8731466227348
"22",2010,"Marin",2366,171,14,185,7.81910397295013
"23",2010,"Mariposa",145,10,0,10,6.89655172413793
"24",2010,"Mendocino",1050,76,14,90,8.57142857142857
"25",2010,"Merced",4243,402,62,464,10.9356587320292
"26",2010,"Modoc",119,0,0,0,0
"27",2010,"Mono",151,11,0,11,7.28476821192053
"28",2010,"Monterey",6757,530,97,627,9.27926594642593
"29",2010,"Napa",1483,116,21,137,9.23803101820634
"30",2010,"Nevada",785,40,0,40,5.09554140127389
"31",2010,"Orange",38087,3096,429,3525,9.25512642108856
"32",2010,"Placer",3815,303,41,344,9.0170380078637
"33",2010,"Plumas",165,12,0,12,7.27272727272727
"34",2010,"Riverside",30601,2632,411,3043,9.94411947321983
"35",2010,"Sacramento",20034,1692,290,1982,9.8931815912948
"36",2010,"San Benito",734,54,14,68,9.26430517711172
"37",2010,"San Bernardino",31305,2794,447,3241,10.352978757387
"38",2010,"San Diego",44828,3807,541,4348,9.69929508343
"39",2010,"San Francisco",8796,752,104,856,9.73169622555707
"40",2010,"San Joaquin",10583,885,127,1012,9.56250590569782
"41",2010,"San Luis Obispo",2725,208,32,240,8.80733944954128
"42",2010,"San Mateo",9185,778,103,881,9.59172563962983
"43",2010,"Santa Barbara",5814,425,60,485,8.34193326453388
"44",2010,"Santa Clara",23914,2048,274,2322,9.70979342644476
"45",2010,"Santa Cruz",3178,258,47,305,9.59723096286973
"46",2010,"Shasta",2133,163,16,179,8.39193624003751
"47",2010,"Sierra",22,0,0,0,0
"48",2010,"Siskiyou",433,34,0,34,7.85219399538106
"49",2010,"Solano",5044,446,77,523,10.3687549563838
"50",2010,"Sonoma",5388,440,58,498,9.24276169265033
"51",2010,"Stanislaus",7767,672,107,779,10.0296124629844
"52",2010,"Sutter",1357,123,16,139,10.2431834929993
"53",2010,"Tehama",766,58,13,71,9.26892950391645
"54",2010,"Trinity",107,0,0,0,0
"55",2010,"Tulare",8150,682,101,783,9.60736196319018
"56",2010,"Tuolumne",486,30,0,30,6.17283950617284
"57",2010,"Ventura",11145,882,134,1016,9.1161956034096
"58",2010,"Yolo",2421,183,34,217,8.96323833126807
"59",2010,"Yuba",1222,99,13,112,9.16530278232406
"60",2011,"Alameda",18983,1608,243,1851,9.75082968972238
"61",2011,"Alpine",6,0,0,0,0
"62",2011,"Amador",269,24,0,24,8.92193308550186
"63",2011,"Butte",2383,191,19,210,8.81242131766681
"64",2011,"Calaveras",325,18,0,18,5.53846153846154
"65",2011,"California",500909,42616,6557,49173,9.81675314278641
"66",2011,"Colusa",302,29,0,29,9.60264900662252
"67",2011,"Contra Costa",12053,1001,171,1172,9.72372023562598
"68",2011,"Del Norte",337,28,0,28,8.30860534124629
"69",2011,"El Dorado",1629,131,15,146,8.96255371393493
"70",2011,"Fresno",16095,1633,278,1911,11.8732525629077
"71",2011,"Glenn",388,34,0,34,8.76288659793815
"72",2011,"Humboldt",1444,103,0,103,7.13296398891967
"73",2011,"Imperial",3037,232,38,270,8.89035232136977
"74",2011,"Inyo",213,25,0,25,11.7370892018779
"75",2011,"Kern",14079,1290,195,1485,10.5476241210313
"76",2011,"Kings",2562,230,35,265,10.3434816549571
"77",2011,"Lake",695,55,13,68,9.7841726618705
"78",2011,"Lassen",299,26,0,26,8.69565217391304
"79",2011,"Los Angeles",129966,11373,1760,13133,10.1049505255221
"80",2011,"Madera",2400,189,35,224,9.33333333333333
"81",2011,"Marin",2384,171,20,191,8.01174496644295
"82",2011,"Mariposa",131,11,0,11,8.3969465648855
"83",2011,"Mendocino",1057,67,0,67,6.33869441816462
"84",2011,"Merced",4279,355,52,407,9.51156812339332
"85",2011,"Modoc",87,0,0,0,0
"86",2011,"Mono",154,0,0,0,0
"87",2011,"Monterey",6803,508,83,591,8.68734381890343
"88",2011,"Napa",1524,123,16,139,9.12073490813648
"89",2011,"Nevada",758,50,0,50,6.59630606860158
"90",2011,"Orange",38026,3141,453,3594,9.45142797033609
"91",2011,"Placer",3823,296,53,349,9.12895631702851
"92",2011,"Plumas",164,15,0,15,9.14634146341463
"93",2011,"Riverside",30600,2578,367,2945,9.62418300653595
"94",2011,"Sacramento",19945,1656,306,1962,9.83705189270494
"95",2011,"San Benito",763,63,11,74,9.69855832241153
"96",2011,"San Bernardino",30542,2653,458,3111,10.1859734136599
