date,c.deaths
3/1/1947,105
3/2/1947,120
3/3/1947,142
3/4/1947,115
3/5/1947,117
3/6/1947,115
3/7/1947,111
3/8/1947,95
3/9/1947,127
3/10/1947,117
3/11/1947,113
3/12/1947,130
3/13/1947,126
3/14/1947,108
3/15/1947,108
3/16/1947,109
3/17/1947,107
3/18/1947,111
3/19/1947,122
3/20/1947,119
3/21/1947,119
3/22/1947,136
3/23/1947,99
3/24/1947,125
3/25/1947,115
3/26/1947,115
3/27/1947,124
3/28/1947,116
3/29/1947,126
3/30/1947,116
3/31/1947,124
4/1/1947,107
4/2/1947,143
4/3/1947,123
4/4/1947,137
4/5/1947,111
4/6/1947,123
4/7/1947,114
4/8/1947,107
4/9/1947,124
4/10/1947,117
4/11/1947,97
4/12/1947,117
4/13/1947,109
4/14/1947,84
4/15/1947,113
4/16/1947,106
4/17/1947,124
4/18/1947,100
4/19/1947,105
4/20/1947,98
4/21/1947,96
4/22/1947,119
4/23/1947,105
4/24/1947,115
4/25/1947,112
4/26/1947,116
4/27/1947,110
4/28/1947,117
4/29/1947,114
4/30/1947,119
5/1/1947,110
5/2/1947,106
5/3/1947,91
5/4/1947,95
5/5/1947,116
5/6/1947,107
5/7/1947,121
5/8/1947,104
5/9/1947,103
5/10/1947,118
5/11/1947,94
5/12/1947,112
5/13/1947,129
5/14/1947,123
5/15/1947,110
5/16/1947,111
5/17/1947,117
5/18/1947,92
5/19/1947,105
5/20/1947,102
5/21/1947,102
5/22/1947,94
5/23/1947,107
5/24/1947,103
5/25/1947,111
5/26/1947,95
5/27/1947,87
5/28/1947,104
5/29/1947,109
5/30/1947,101
5/31/1947,99
6/1/1947,81
6/2/1947,109
6/3/1947,99
6/4/1947,106
6/5/1947,97
6/6/1947,101
6/7/1947,115
6/8/1947,84
6/9/1947,92
6/10/1947,107
6/11/1947,118
6/12/1947,109
6/13/1947,99
6/14/1947,88
6/15/1947,101
6/16/1947,99
6/17/1947,99
6/18/1947,110
6/19/1947,92
6/20/1947,102
6/21/1947,99
6/22/1947,108
6/23/1947,94
6/24/1947,113
6/25/1947,95
6/26/1947,97
6/27/1947,113
6/28/1947,127
6/29/1947,97
6/30/1947,109
