FIPSCODE,AREANAME,PSTOT,PSMAL,PSFEM,GCTOT,GCMAL,GCFEM,CTTOT,CTMAL,CTFEM,TOTPOP,MALEPOP,FEMPOP,PSTOTRATE,PSMALRATE,PSFEMRATE,CTTOTRATE,CTMALRATE,CTFEMRATE,GCTOTRATE,GCMALRATE,GCFEMRATE
1,Alabama,149,86,63,10118,5131,4974,15611,1579,13988,4447100,2146504,2300596,3.4,4,2.7,351,73.6,608,227.5,239,216.2
2,Alaska,0,0,0,641,288,353,3806,1230,2576,626932,324112,302820,0,0,0,607.1,379.5,850.7,102.2,88.9,116.6
4,Arizona,200,126,74,3795,2136,1659,14973,3308,11665,5130632,2561057,2569575,3.9,4.9,2.9,291.8,129.2,454,74,83.4,64.6
5,Arkansas,34,16,18,4584,2194,2388,7312,1486,5817,2673400,1304693,1368707,1.3,1.2,1.3,273.5,113.9,425,171.5,168.2,174.5
6,California,1033,994,39,24606,13586,10857,110288,28400,81218,33871648,16874892,16996756,3,5.9,0.2,325.6,168.3,477.8,72.6,80.5,63.9
8,Colorado,64,62,2,3511,1868,1643,14028,3604,10422,4301261,2165983,2135278,1.5,2.9,0.1,326.1,166.4,488.1,81.6,86.2,76.9
9,Connecticut,28,25,3,3241,1331,1910,9808,2070,7738,3405565,1649319,1756246,0.8,1.5,0.2,288,125.5,440.6,95.2,80.7,108.8
10,Delaware,11,7,4,1576,718,858,2649,615,2034,783600,380541,403059,1.4,1.8,1,338.1,161.6,504.6,201.1,188.7,212.9
11,District of Columbia,58,49,9,2669,1436,1224,3305,459,2825,572059,269366,302693,10.1,18.2,3,577.7,170.4,933.3,466.6,533.1,404.4
12,Florida,617,509,108,21348,10975,10373,42058,8156,33902,15982378,7797715,8184663,3.9,6.5,1.3,263.2,104.6,414.2,133.6,140.7,126.7
13,Georgia,439,340,98,18383,9013,9306,33998,6363,27494,8186453,4027113,4159340,5.4,8.4,2.4,415.3,158,661,224.6,223.8,223.7
15,Hawaii,11,9,2,740,346,394,4521,1076,3445,1211537,608671,602866,0.9,1.5,0.3,373.2,176.8,571.4,61.1,56.8,65.4
16,Idaho,8,4,4,94,45,49,2503,641,1862,1293953,648660,645293,0.6,0.6,0.6,193.4,98.8,288.6,7.3,6.9,7.6
17,Illinois,479,398,81,24026,11750,12273,48101,13942,34154,12419293,6080336,6338957,3.9,6.5,1.3,387.3,229.3,538.8,193.5,193.2,193.6
18,Indiana,62,44,18,7395,3372,3996,17100,3845,13151,6080485,2982474,3098011,1,1.5,0.6,281.2,128.9,424.5,121.6,113.1,129
19,Iowa,8,4,4,1480,658,821,6195,1505,4680,2926324,1435515,1490809,0.3,0.3,0.3,211.7,104.8,313.9,50.6,45.8,55.1
20,Kansas,20,14,6,2744,1188,1556,6784,1131,5653,2688418,1328474,1359944,0.7,1.1,0.4,252.3,85.1,415.7,102.1,89.4,114.4
