RPTYR,GCRate,County,Cases,Pop
2007,246.47,San Francisco,2015,817537
2007,155.32,Sacramento,2198,1415117
2007,154.77,Alameda,2369,1530620
2007,148.04,San Joaquin,1007,680183
2007,140.38,Kern,1137,809903
2007,117.43,Fresno,1084,923052
2007,102.59,Modoc,10,9747
2007,97.73,Los Angeles,10061,10294280
2007,96.15,Stanislaus,503,523095
2007,92.79,Contra Costa,969,1044201
2007,89.72,San Bernardino,1830,2039467
2007,80.43,Solano,341,423970
2007,76.04,Madera,114,149916
2007,75.57,San Diego,2358,3120088
2007,75.3,Butte,165,219101
2007,72.62,Tulare,313,430974
2007,63.94,Kings,98,153268
2007,58.99,Merced,149,252544
2007,56.41,Riverside,1168,2070315
2007,47.96,Santa Clara,873,1820176
2007,46.84,Humboldt,62,132364
2007,41.74,San Benito,24,57493
2007,37.9,Glenn,11,29018
2007,35.8,San Mateo,263,734453
2007,35.56,Imperial,62,174322
2007,35.43,Yolo,70,197530
2007,32.91,Monterey,140,425356
2007,32.8,Santa Cruz,87,265183
2007,31.4,Orange,973,3098183
2007,30.43,Marin,78,256310
2007,27.92,Yuba,20,71612
2007,26.63,Lake,17,63821
2007,24.6,Tuolumne,14,56910
2007,23.03,Sutter,22,95516
2007,22.54,Tehama,14,62093
2007,21.18,Mendocino,19,89669
2007,20.08,Ventura,166,826550
2007,19.29,Sonoma,93,482034
2007,19.1,Placer,63,329818
2007,18.55,Santa Barbara,79,425710
2007,17.96,San Luis Obispo,48,267154
2007,16.34,Mariposa,3,18356
2007,16.22,El Dorado,29,178689
2007,16.06,Nevada,16,99587
2007,14.75,Napa,20,135554
2007,14.27,Trinity,2,14012
2007,11.04,Lassen,4,36223
2007,10.88,Calaveras,5,45950
2007,9.92,Shasta,18,181380
2007,9.57,Plumas,2,20891
2007,7.11,Mono,1,14055
2007,6.84,Del Norte,2,29207
2007,5.47,Inyo,1,18253
2007,4.55,Colusa,1,21945
2007,2.6,Amador,1,38320
2007,0,Alpine,0,1261
2007,0,Sierra,0,3400
2007,0,Siskiyou,0,45695
