TDE,spryconc
0.645,10.8
27.119,10.8
0.076,10.8
0.085,10.8
0.505,10.8
0.088,10.8
,10.8
0.188,67
3.031,67
5.105,67
0.169,80
1.218,80
0.067,80
0.285,84
19.624,84
0.408,84
0.424,84
14.138,111
32.831,111
2.542,111
21.731,111
7.089,111
16.205,111
9.492,111
0.305,112
0.142,112
1.26,128
0.702,135
5.792,135
2.357,150
2.015,150
0.806,150
0.732,150
0.257,150
0.684,150
0.343,150
6.184,150
2.201,150
1,150
8.999001,167
3.404,167
0.93,167
7.293,167
7.009,171
12.06,171
0.226,178
0.368,180
34.006,190
11.284,190
5.006,190
11.878,190
25.004,190
16.538,191
7.575,199
133.111,201
51.148,201
0.604,213
0.551,214
6.427,223
269.032,223
33.423,223
132.089,223
56.9,223
8.780001,223
35.405,223
83.458,223
2.112,225
2.552,225
16.647,250
14.231,267
62.669,300
4.363,300
23.218,321
0.378,375
8.134,375
25.602,375
33.02,375
7.213,375
35.202,375
14.901,375
22.711,375
115.05,400
3.085,400
165.6,400
0.951,423
27.809,428
27.7,467
9.426001,468
22.94,500
26.237,500
9.563,500
12.601,500
38.19,500
12.709,511
55.611,562
4.213,562
32.415,562
52.808,600
0.933,600
6.684,600
31.838,600
27.972,600
26.487,600
105.7,600
3.234,600
0.565,625
47.4,747
4.337,836
0.746,836
2.133,836
1.628,836
82.85,899
123.55,899
3.74,994
287.39,1000
165.33,1000
99.7,1000
150.83,1000
232.71,1000
0.679,1124
0.185,1124
0.499,1124
13.5,1300
121.5,1660
120.9,1660
139.7,1800
4.666,3747
0.497,3747
1.512,3747
