county,year,CAUSE,sex,ageG,Ndeaths,YLL,pop,US2000POP
California,2010,0,Male,0 - 4,1598,146393.83,1291229.64820253,18987
California,2010,0,Male,15 - 24,2276,163239.07,2904940.7817453,38077
California,2010,0,Male,25 - 34,2699,168689.71,2728380.48390666,37233
California,2010,0,Male,35 - 44,4155,216201.3,2603043.66772075,44659
California,2010,0,Male,45 - 54,10337,436682.36,2609657.18058244,37030
California,2010,0,Male,5 - 14,298,24459.38,2599921.36979385,39977
California,2010,0,Male,55 - 64,17703,582621.9,1969247.18607936,23961
California,2010,0,Male,65 - 74,19887,467163.71,1063816.78529905,18136
California,2010,0,Male,75 - 84,28492,417101.85,585371.370720331,12315
California,2010,0,Male,85 - 999,29447,234083.05,214525.76075746102,4259
California,2010,0,Female,0 - 4,1249,114458.78,1234770.34390375,18987
California,2010,0,Female,15 - 24,679,48775.28,2691899.6871438,38077
California,2010,0,Female,25 - 34,1120,69793.37,2609688.17359586,37233
California,2010,0,Female,35 - 44,2452,127133.29,2574146.16573943,44659
California,2010,0,Female,45 - 54,6499,274078.27,2641975.91322442,37030
California,2010,0,Female,5 - 14,246,20202.82,2486596.85248475,39977
California,2010,0,Female,55 - 64,11428,374665.89,2107996.9861708498,23961
California,2010,0,Female,65 - 74,15810,368936.66000000003,1231824.0064262499,18136
California,2010,0,Female,75 - 84,28556,411457.81,788773.6327572591,12315
California,2010,0,Female,85 - 999,46702,344800.66,395777.0037747704,4259
California,2010,0,Total,0 - 4,2853,261404.25,2525999.99210628,18987
California,2010,0,Total,15 - 24,2955,212014.35,5596840.4688891005,38077
California,2010,0,Total,25 - 34,3819,238483.08,5338068.65750252,37233
California,2010,0,Total,35 - 44,6607,343334.59,5177189.83346018,44659
California,2010,0,Total,45 - 54,16836,710760.63,5251633.09380686,37030
California,2010,0,Total,5 - 14,544,44662.2,5086518.2222786,39977
California,2010,0,Total,55 - 64,29131,957287.7899999999,4077244.17225021,23961
California,2010,0,Total,65 - 74,35697,836100.3699999999,2295640.7917253,18136
California,2010,0,Total,75 - 84,57048,828559.6600000001,1374145.00347759,12315
California,2010,0,Total,85 - 999,76149,578883.7099999998,610302.7645322314,4259
California,2010,A,Male,0 - 4,754,69298.74,1291229.64820253,18987
California,2010,A,Male,15 - 24,47,3355.94,2904940.7817453,38077
California,2010,A,Male,25 - 34,108,6714.2,2728380.48390666,37233
California,2010,A,Male,35 - 44,263,13583.8,2603043.66772075,44659
California,2010,A,Male,45 - 54,675,28651.38,2609657.18058244,37030
California,2010,A,Male,5 - 14,11,921.26,2599921.36979385,39977
California,2010,A,Male,55 - 64,972,32296.16,1969247.18607936,23961
California,2010,A,Male,65 - 74,791,18487.079999999998,1063816.78529905,18136
California,2010,A,Male,75 - 84,1277,18530.24,585371.370720331,12315
California,2010,A,Male,85 - 999,1647,12593.33,214525.76075746102,4259
California,2010,A,Female,0 - 4,576,52918.61,1234770.34390375,18987
California,2010,A,Female,15 - 24,31,2210.94,2691899.6871438,38077
California,2010,A,Female,25 - 34,72,4503.9800000000005,2609688.17359586,37233
California,2010,A,Female,35 - 44,126,6563.67,2574146.16573943,44659
