yearG3,sex,county,Ndeaths,YLL,pop,YLLper,cRate,rateSE,rateLCI,rateUCI,aRate,aLCI,aUCI,aSE,causeName
2001-2003,Female,CALIFORNIA,159,1353,52677200,2.56847,0.301838,0.0239373,0.254922,0.348755,0.302371,0.257105,0.353568,0.0240312,Tuberculosis
2001-2003,Female,CALIFORNIA,618,19275,52677200,36.5908,1.17318,0.0471923,1.08069,1.26568,1.18903,1.09703,1.28691,0.0478795,HIV/ and other Sexually transmitted diseases (STDs)
2001-2003,Female,Los Angeles,211,6934,14764000,46.9655,1.42915,0.0983867,1.23632,1.62198,1.44609,1.25687,1.65704,0.099923,HIV/ and other Sexually transmitted diseases (STDs)
2001-2003,Female,CALIFORNIA,143,4449,52677200,8.44578,0.271465,0.022701,0.226971,0.315958,0.272913,0.229955,0.32182,0.0228565,Meningitis
2001-2003,Female,Los Angeles,206,2883,14764000,19.5272,1.39528,0.097214,1.20475,1.58582,1.52455,1.32322,1.74854,0.106352,Hepatitis
2001-2003,Female,CALIFORNIA,809,12445,52677200,23.625,1.53577,0.0539947,1.42994,1.6416,1.58782,1.48015,1.70142,0.0558916,Hepatitis
2001-2003,Female,San Bernardino,574,1997,2717890,73.4761,21.1193,0.881504,19.3916,22.847,26.9461,24.783,29.2489,1.12656,Respiratory infections
2001-2003,Female,Los Angeles,4020,8591,14764000,58.1887,27.2283,0.429446,26.3866,28.07,28.2262,27.3585,29.1154,0.446146,Respiratory infections
2001-2003,Female,Solano,151,582,607309,95.8326,24.8638,2.02339,20.898,28.8295,26.9479,22.8171,31.6251,2.19521,Respiratory infections
2001-2003,Female,San Francisco,457,580,1154790,50.2254,39.5742,1.8512,35.9459,43.2024,27.1472,24.6824,29.9004,1.28731,Respiratory infections
2001-2003,Female,Stanislaus,220,588,720264,81.6367,30.5444,2.0593,26.5082,34.5805,29.3339,25.5695,33.5256,1.98642,Respiratory infections
